ticker,target_name,horizon,spike_percentile,embedding_variant,alignment_mode,placebo_variant,evaluation_filter,num_test_spikes,num_test_samples,precision,recall,f1,roc_auc,pr_auc
AMD,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,15,173,0.07692307692307693,0.26666666666666666,0.11940298507462686,0.47552742616033755,0.1858211500104131
AMGN,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,16,77,0.22727272727272727,0.3125,0.2631578947368421,0.49282786885245905,0.27821836802372774
AXP,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,85,0.2,0.3333333333333333,0.25,0.8080168776371308,0.3702215608465609
BAC,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,12,105,0.13333333333333333,0.16666666666666666,0.14814814814814814,0.5421146953405018,0.16034700664913723
BX,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,86,0.1276595744680851,0.6666666666666666,0.21428571428571427,0.6378066378066378,0.19244494268174844
C,log_abs_return,1,85.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,7,100,0.21428571428571427,0.42857142857142855,0.2857142857142857,0.631336405529954,0.3751757401525203
ABT,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,125,0.05555555555555555,0.16666666666666666,0.08333333333333333,0.41176470588235303,0.05976836239941598
AMD,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,12,173,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.4844720496894409,0.15642206992838206
AMGN,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,9,77,0.1111111111111111,0.2222222222222222,0.14814814814814814,0.4526143790849673,0.17897870234177984
AXP,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,6,85,0.2,0.3333333333333333,0.25,0.8059071729957806,0.2748006379585327
BAC,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,7,105,0.1111111111111111,0.14285714285714285,0.125,0.5116618075801749,0.11348839214773945
BX,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,86,0.07317073170731707,0.6,0.13043478260869565,0.5851851851851853,0.13422556359176077
C,log_abs_return,1,90.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,5,100,0.2,0.2,0.2,0.6063157894736843,0.3102514262235497
ABT,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,3,125,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.5464480874316939,0.10683720930232557
AMD,log_abs_return,1,95.0,target_sector_weighted,shifted_1_day_text,correct_text,target_event_keyword,7,173,0.02040816326530612,0.14285714285714285,0.03571428571428571,0.38296041308089496,0.03500887999656539
