ticker,target_name,horizon,spike_percentile,embedding_variant,alignment_mode,placebo_variant,evaluation_filter,num_spike_samples,ts_only_mae,embedding_mae,mae_improvement_pct,underprediction_reduction
BAC,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,5,0.8117910153010023,0.8109361667158266,0.10530402148621186,0.0008548485851756383
BX,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,9,0.6131236700806618,0.6203586068046829,-1.1800126266645798,-0.007234936724021078
C,log_gk,3,85.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,4,0.7807717070891225,0.7705743554153963,1.3060606040328966,0.010197351673726152
ABT,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,4,0.9270294448927492,0.9378711971975948,-1.1695154198796722,-0.010841752304845631
AMD,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,6,0.8872633855122469,0.877631701346325,1.0855496037809875,0.009631684165922009
AMGN,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,1,0.6283190808500185,0.6314240291638171,-0.49416743951147873,-0.0031049483137985945
AXP,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,4,1.1005966607601765,1.1240284268723804,-2.1290057427595386,-0.023431766112203878
BAC,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,3,1.0933454778914515,1.0863534542727777,0.6395072518302369,0.0069920236186738665
BX,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,6,0.6321752616522828,0.6392808797512298,-1.1239949631017634,-0.007105618098947127
C,log_gk,3,90.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,3,0.8318629655790103,0.8383548731775236,-0.7804058922126227,-0.006491907598513258
ABT,log_gk,3,95.0,target_sector_weighted,shifted_1_day_text,shuffled_within_ticker,target_event_keyword,1,1.0276705618993436,1.0589982319055604,-3.0484156273112415,-0.031327670006216835
